% ITASE_2000_4					
% Water isotope data from the University of Washington					
% Eric J. Steig and David P. Schneider					
%					
% Citation:					
% Steig EJ, Ding Q, White JCW, Kuettel M, Rupper SB, Neumann TA, Neff PD,					
% Gallant AJE, Mayewski PA, Taylor KC, Hoffmann G, Dixon DA, Schoenemann S, Markle BM, 					
% Schneider DP, Fudge TJ, Schauer AJ, Teel RP, Vaughn B, Burgener L, Williams J,					
% Korotkikh E. Recent climate and ice-sheet changes in West Antarctica compared					
% with the past 2000 years. Nature Geoscience 6: 372-375, doi: 10.1038/NGEO1778 (2013).					
%					
% Depths are given in meters. Age in calendar years.					
% Ages refer to nominal Jan 1st (that is, 2000.0 means midnight of Dec 31, 1999)					
%					
% Isotope ratios are normalized on the V-SMOW / SLAP scale.					
% Precision is <0.1 per mil and <1 per mil for d18O and delD, respectively.  Analysis via CO2 equilibration (d18O), reduction on Cr (dD) or laser spectroscopy (dD).					
%					
% Core ITASE_2000_4, Location 120.0764 W, 78.0829 S, elevation 1697 m					
% Core depth = 58 m.  Analyzed to 20 m.					
%					
% Depth_top	Depth_bottom	Age_top	Age_bottom	dD (per mil)	d18O (per mil)
1.82	1.84	1998.3392	1998.2932	-260.105176	999999
1.84	1.86	1998.2932	1998.2471	-260.272918	999999
1.86	1.88	1998.2471	1998.2011	-257.863928	999999
1.88	1.9	1998.2011	1998.155	-258.708049	999999
1.9	1.92	1998.155	1998.1089	-256.685406	999999
1.92	1.94	1998.1089	1998.0629	-257.161577	999999
1.94	1.96	1998.0629	1998.0168	-258.775146	999999
1.96	1.98	1998.0168	1997.9548	-266.507505	999999
1.98	2	1997.9548	1997.8836	-270.11125	999999
1.15	1.1803333	1999.775	1999.6992	-278.621642	-34.541784
1.1803333	1.2106666	1999.6992	1999.63	-276.575775	-34.277705
1.2106666	1.2409999	1999.63	1999.5719	-272.649451	-34.180474
1.2409999	1.2713332	1999.5719	1999.5125	-273.451474	-34.117173
1.2713332	1.3016665	1999.5125	1999.4531	-266.658759	-33.462854
1.3016665	1.3319998	1999.4531	1999.3937	-255.563194	-32.266043
1.3319998	1.3623331	1999.3937	1999.3343	-246.489554	-31.214012
1.3623331	1.3926664	1999.3343	1999.2749	-237.587855	-30.372985
1.3926664	1.4229997	1999.2749	1999.2156	-236.104601	-29.814947
1.4229997	1.453333	1999.2156	1999.1562	-234.560406	-29.55525
1.453333	1.4836663	1999.1562	1999.0968	-239.581487	-30.147775
1.4836663	1.5139996	1999.0968	1999.0374	-250.858787	-31.314806
1.5139996	1.5443329	1999.0374	1998.9741	-267.102756	-33.165998
1.5443329	1.5746662	1998.9741	1998.9043	-284.108484	-34.875899
1.5746662	1.6049995	1998.9043	1998.8344	-297.313035	-36.593285
1.6049995	1.6353328	1998.8344	1998.7646	-298.614555	-36.656121
1.6353328	1.6656661	1998.7646	1998.6947	-294.871053	-36.394973
1.6656661	1.6959994	1998.6947	1998.6248	-284.061691	-35.311749
1.6959994	1.7263327	1998.6248	1998.555	-274.781288	-34.345785
1.7263327	1.756666	1998.555	1998.4851	-267.920015	-33.657325
1.756666	1.7869993	1998.4851	1998.4153	-263.961044	-33.318027
1.7869993	1.8173326	1998.4153	1998.3454	-260.782332	-33.065429
1.8173326	1.8476659	1998.3454	1998.2755	-259.228344	-32.863523
1.8476659	1.8779992	1998.2755	1998.2057	-257.320681	-32.812855
1.8779992	1.9083325	1998.2057	1998.1358	-257.862618	-32.76727
