% Annually averaged water isotope data as published in Steig et al. (2013) in Nature Geoscience																													
% Paper available at																													
% http://www.nature.com/ngeo/journal/v6/n5/full/ngeo1778.html																													
%																													
% Citation																													
% The primary citation for this data compilation is:																													
% Steig EJ, Ding Q, White JCW, Kuettel M, Rupper SB, Neumann TA, Neff PD,																													
% Gallant AJE, Mayewski PA, Taylor KC, Hoffmann G, Dixon DA, Schoenemann S, Markle BM, 																													
% Schneider DP, Fudge TJ, Schauer AJ, Teel RP, Vaughn B, Burgener L, Williams J,																													
% Korotkikh E. Recent climate and ice-sheet changes in West Antarctica compared																													
% with the past 2000 years. Nature Geoscience 6: 372-375, doi: 10.1038/NGEO1778 (2013).																													
%																													
% Note that many of these data have been published previously, and the original references should be used when possible.  Please refer to the headers																													
% below and to the details given in the Supplementary Materials for Steig et al. (2013), available at http://www.nature.com/ngeo/journal/v6/n5/extref/ngeo1778-s1.pdf																													
%																													
% For the data cited as Steig et al. (2013), annual averaged are calculated following linear interpolation of high resolution data to nominal calendar months.																													
%  In the (rare) case of missing data, the climatological monthly data are used to fill in missing months.  If fewer then 6 months of data are available for a given year, no average is calculated.																													
% For other data please refer to the original publication cited.																													
%																													
% 999999 = no data																													
%																													
% Core Name	WDC05A	ITASE_1999_1	ITASE_2000_1	ITASE_2000_2	ITASE_2000_3	ITASE_2000_4	ITASE_2000_5	ITASE_2000_6	ITASE_2001_1	ITASE_2001_2	ITASE_2001_3	ITASE_2001_4	ITASE_2001_5	ITASE_2002_1	ITASE_2002_2	ITASE_2002_4	SEAT_10_1	Siple Dome A 	Siple DOME B	NUS-07-1	NUS-08-7	South Pole	Gomez	LawDome2000	Talos Dome	Vostok	JamesRoss	DT001	DT085
% Latitude (N)	-79.467	-80.62	-78.3838	-79.7331	-78.433	-78.0829	-77.683	-78.3325	-79.1597	-82.001	-78.1202	-77.6116	-77.0593	-82	-83.5008	-86.5	-79.38	-81.65	-81.65	-73.72	-74.12	-89.93	-73.6	-66.78	-72.8	-78	-64.2	-71.85	-73.37
% Longitude (E)	-112.085	-122.63	-111.24	-111.497	-115.9172	-120.0764	-123.995	-124.484	-104.9672	-110.0082	-95.6463	-92.2483	-89.1376	-110.01	-104.9868	-107.99	-111.24	-148.81	-148.81	7.94	1.6	144.39	-70.4	112.82	159.75	106	-57.67	77.92	77.02
% Citation	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Thomas et al. (2009)	van Ommen et al., (2004)	Stenni et al. (2002)	Ekaykin et al. (2002)	Aristarain et al. (1990)	Xiao et al. (2004)	Xiao et al. (2004)
%																													
% Core Name	WDC05A	ITASE_1999_1	ITASE_2000_1	ITASE_2000_2	ITASE_2000_3	ITASE_2000_4	ITASE_2000_5	ITASE_2000_6	ITASE_2001_1	ITASE_2001_2	ITASE_2001_3	ITASE_2001_4	ITASE_2001_5	ITASE_2002_1	ITASE_2002_2	ITASE_2002_4	SEAT_10_1	Siple Dome A 	Siple DOME B	NUS-07-1	NUS-08-7	South Pole	Gomez	LawDome2000	Talos Dome	Vostok	JamesRoss	DT001	DT085
% Year	d18O	d18O	d18O	d18O	dD	dD	dD	d18O	d18O	d18O	dD	d18O	d18O	d18O	d18O	d18O	d18O	dD	d18O	d18O	d18O	dD	d18O	d18O	dD	dD	dD	d18O	d18O
1888	-31.183144	-31.496777	-31.925234	999999	999999	999999	-266.67879	999999	999999	999999	-255.54811	999999	-31.518097	-34.315232	999999	-42.585915	999999	-203.98662	-26.840021	-46.8456	-44.4312	-399.2261	-21.69	-22.719841	-294.5	-446.632579	-150.56	999999	999999
1887	-33.411348	-31.725074	-32.231442	999999	999999	999999	-263.0309	999999	999999	999999	-244.55569	999999	-30.910754	-31.907451	999999	-42.87623	999999	-205.18125	-26.751528	-46.5445	-44.884	-397.7238	-21.44	-22.783917	-293.1	-444.3166651	-157.0555556	999999	999999
1886	-33.750937	-32.143032	-32.665034	999999	999999	999999	-276.44191	999999	999999	999999	-247.92029	999999	-31.355872	-34.764154	999999	-44.55405	999999	-194.91044	-25.933708	-46.2345	-44.1948	-409.6189	-23.31	-22.435577	-289.8	-445.5517178	-144.7714286	999999	999999
1885	-34.567367	-32.439081	-32.47734	999999	999999	999999	-266.71616	999999	999999	999999	-245.25977	999999	-31.925258	-33.394	999999	-43.496963	999999	-195.84593	-25.363722	-45.5018	-45.1071	-403.6399	-24.11	-21.638248	-285.2	-436.2976884	-135.7	999999	999999
1884	-34.000714	-32.425637	-34.16552	999999	999999	999999	-257.56605	999999	999999	999999	-255.79863	999999	-33.985442	-34.814718	999999	-42.405093	999999	-201.32639	-25.52238	-45.0406	-43.5914	-402.5952	-22.92	-21.852754	-287.7	-435.8587402	-137.2714286	999999	999999
1883	-33.449742	-30.995761	-32.848083	999999	999999	999999	-250.94977	999999	999999	999999	-248.56438	999999	-33.205868	-33.008553	999999	-42.594604	999999	-200.81697	-26.135462	-45.9628	-40.9901	-402.0527	-22.72	-23.580886	-277.6	-430.1542263	-145.6571429	999999	999999
1882	-33.54177	-29.58126	-32.453938	999999	999999	999999	-260.30045	999999	999999	999999	-253.61178	999999	-29.5963	-34.787131	999999	-42.632183	999999	-188.44016	-26.550972	-46.0173	-42.1877	-399.3565	-24.19	-22.505112	-260.8	-424.6417952	-147.18	999999	999999
1881	-34.642762	-28.799257	-31.962281	999999	999999	999999	-262.84073	999999	999999	999999	-248.90176	999999	-32.066908	-34.849373	999999	-41.271533	999999	-174.91767	-26.073726	-47.4447	-43.1409	-406.2405	-24.11	-23.711074	-263.4	-434.6760682	-137.2375	999999	999999
1880	-34.474658	-29.971387	-34.144986	999999	999999	999999	-272.84484	999999	999999	999999	-267.03654	999999	-33.762904	-33.8666	999999	-42.212031	999999	-184.22135	-25.671079	-47.6605	-43.1375	-412.5559	-22.39	-21.659571	-272	-437.4986173	-137.5066667	999999	999999
1879	-31.945648	-30.933052	-34.353757	999999	999999	999999	-281.14042	999999	999999	999999	-263.38662	999999	-32.568215	-34.225751	999999	-43.733243	999999	-184.16287	-26.624729	-45.6048	-44.4808	-409.8731	-22.42	-21.89178	-270.9	-434.5412012	-144.9533333	999999	999999
1878	-31.830745	-31.338625	-32.808246	999999	999999	999999	-271.8308	999999	999999	999999	-252.79936	999999	-32.849007	-34.43658	999999	-41.586523	999999	-203.15873	-26.757637	-44.7195	-45.3804	-403.8331	-23.39	-22.297312	-282.5	-444.3234253	-153.1	999999	999999
1877	-31.569513	-31.822733	-32.141994	999999	999999	999999	-255.41707	999999	999999	999999	-251.51529	999999	-31.711445	-31.693316	999999	-42.915378	999999	-215.83194	-25.373847	-43.1407	-45.0905	-400.9253	-22.13	-23.262427	-294.4	-443.3134448	-139.9285714	999999	999999
1876	-35.181545	-32.401036	-30.744503	999999	999999	999999	-259.87248	999999	999999	999999	-254.04237	999999	-29.661596	-32.113963	999999	-43.277812	999999	-214.74158	-25.130542	-42.8507	-43.1076	-398.1136	-23.02	-22.275614	-294.6	-435.8962409	-139.2	999999	999999
1875	-35.157017	-32.557338	-31.860451	999999	999999	999999	-278.43987	999999	999999	999999	-254.5549	999999	-33.016382	-32.632599	999999	-45.340913	999999	-213.88336	-24.49738	-44.0223	-40.9759	-381.131	-22.27	-23.460237	-307.3	-435.5992085	-152.6555556	999999	999999
1874	-34.111288	-32.162541	-33.610565	999999	999999	999999	-283.23044	999999	999999	999999	-257.43989	999999	-30.859854	-35.806269	999999	-41.383696	999999	-212.23313	-22.885361	-45.4543	-41.4767	-393.8607	-23.2	-22.861847	-299.7	-435.3021762	-137.4875	999999	999999
1873	-34.446689	-30.81444	-32.362162	999999	999999	999999	-266.93953	999999	999999	999999	-249.78773	999999	-33.261975	-36.322287	999999	-42.515995	999999	-212.57897	-22.901192	-46.1395	-41.3577	-409.2793	-22.78	-23.916221	-259.9	-441.8936549	-150.05	999999	999999
1872	-34.063634	-29.772519	-31.94399	999999	999999	999999	-266.39147	999999	999999	999999	-256.22941	999999	-33.621878	-35.401085	999999	-45.078143	999999	-208.9264	-24.217983	-45.2239	-42.4937	-401.3103	-22.62	-22.99373	-269.6	-442.0086445	-135.89	999999	999999
1871	-34.522155	-29.307676	-33.463751	999999	999999	999999	-274.94874	999999	999999	999999	-263.04155	999999	-33.117738	-35.276003	999999	-45.20347	999999	-206.47866	-24.132562	-44.459	-42.7098	-384.7244	-23.59	-21.464391	-284.6	-435.7915157	-143.6375	999999	999999
1870	-35.214284	-29.099179	-34.4232	999999	999999	999999	-282.42021	999999	999999	999999	-271.0996	999999	-33.757275	-39.241069	999999	-42.24967	999999	-211.05686	-24.096633	-44.5393	-41.1844	-390.2104	-23.33	-21.663322	-303.4	-437.8704297	-147.68	999999	999999
1869	-33.771159	-29.052894	-34.163739	999999	999999	999999	-278.13436	999999	999999	999999	-265.18447	999999	-32.203256	-37.100961	999999	-43.711714	999999	-210.75931	-24.79991	-44.5185	-41.3725	-400.6349	-23.62	-22.85228	-295.7	-439.6890236	-144.0090909	999999	999999
1868	-34.16215	-29.075119	-35.046694	999999	999999	999999	-267.79119	999999	999999	999999	-257.61217	999999	-30.34914	-36.356086	999999	-42.690737	999999	-207.46828	-26.128214	-43.545	-42.253	-398.1063	-24.65	-21.703192	-285.2	-443.4770813	-135.9615385	999999	999999
1867	-34.553704	-29.771744	-33.253216	999999	999999	999999	-263.70035	999999	999999	999999	-255.6543	999999	-32.335184	-33.413061	999999	-42.387807	999999	-212.89594	-26.973042	-43.0528	-42.8573	-399.8719	-23.86	-22.185961	-291.4	-447.6391556	-146.125	999999	999999
1866	-34.373454	-31.001417	-34.58838	999999	999999	999999	-268.05225	999999	999999	999999	-245.85168	999999	-31.69094	-33.64382	999999	-42.758381	999999	-209.71769	-27.700831	-44.2794	-42.7429	-391.6618	-22.7	-21.454445	-302.8	-445.4616079	-140.2666667	999999	999999
1865	-35.247127	-31.857091	-33.361375	999999	999999	999999	-267.44222	999999	999999	999999	-250.36856	999999	-31.27692	-35.020503	999999	-42.661839	999999	-207.04961	-27.797032	-46.8469	-41.9464	-401.2233	-23.22	-23.916007	-281.7	-438.7913726	-146.1363636	999999	999999
1864	-35.306405	-31.03251	-33.617737	999999	999999	999999	-266.00867	999999	999999	999999	-254.13673	999999	-33.859453	-32.830647	999999	-43.08312	999999	-209.10063	-26.603986	-48.7385	-43.1866	-409.139	-23.93	-22.410827	-273.5	-435.0768368	-136.2166667	999999	999999
1863	-33.575352	-29.525687	-33.138216	999999	999999	999999	-268.89198	999999	999999	999999	-257.87279	999999	-31.5113	-33.731829	999999	-44.92767	999999	-193.16826	-25.551969	-47.1913	-43.2744	-409.0855	-24.21	-22.264199	-287.8	-435.0070258	-138.1166667	999999	999999
1862	-33.684311	-29.577461	-32.49613	999999	999999	999999	-283.49795	999999	999999	999999	-250.06318	999999	-30.994844	-32.73001	999999	-42.31875	999999	-181.95327	-25.385155	-45.1696	-42.2932	-396.0859	-23.5	-22.673882	-295.9	-433.0426736	-145.975	999999	999999
1861	-33.392952	-30.223325	-32.892457	999999	999999	999999	-275.49515	999999	999999	999999	-252.62641	999999	-33.00123	-31.623023	999999	-42.861229	999999	-187.20454	-26.382403	-44.8856	-40.7687	-382.2604	-22.42	-20.651973	-299.2	-435.2735641	-148.45	999999	999999
1860	-33.240425	-31.046735	-33.683529	999999	999999	999999	-258.92785	999999	999999	999999	-240.64815	999999	-33.023442	-34.169644	999999	-43.019073	999999	-200.9319	-26.724981	-45.4855	-42.346	-391.8894	-22.91	-22.752739	-285.8	-435.4644464	-154.4285714	999999	999999
1859	-34.627617	-31.511361	-34.537922	999999	999999	999999	-259.15729	999999	999999	999999	-262.37958	999999	-31.354396	-33.331777	999999	-43.828542	999999	-211.0068	-26.371056	-46.2205	-43.5574	-398.4929	-23.82	-21.522619	-287.6	-442.8844507	-147.4111111	999999	999999
1858	-35.310829	-31.278718	-34.94921	999999	999999	999999	-269.28292	999999	999999	999999	-260.40034	999999	-33.568021	-30.79974	999999	-41.877147	999999	-199.04806	-26.689288	-46.2414	-42.0387	-406.1871	-23.44	-21.967234	-294.2	-437.0151124	-136.9142857	999999	999999
1857	-33.228188	-31.500363	-33.771626	999999	999999	999999	-264.94397	999999	999999	999999	999999	999999	-32.250488	-33.125958	999999	-43.780328	999999	-197.1325	-27.208502	-45.753	-43.9848	-400.3566	999999	-22.063634	-287.2	-435.7697813	-123.275	999999	999999
1856	-34.490074	-31.691288	-33.225017	999999	999999	999999	-256.85369	999999	999999	999999	999999	999999	-30.956706	-34.999615	999999	-43.282876	999999	-206.18284	-26.504319	-46.1263	-42.6331	-404.111	999999	-22.156196	-287.7	-436.3694285	-144.1142857	999999	999999
1855	-33.452158	-30.047927	-31.463114	999999	999999	999999	-255.21509	999999	999999	999999	999999	999999	-31.935586	-34.582396	999999	-40.429137	999999	-212.50621	-26.076273	-45.7901	-41.6676	-399.6876	999999	-22.570615	-279.3	-436.9690757	-141.0333333	999999	999999
1854	-33.055239	-28.315374	-32.236507	999999	999999	999999	-264.05795	999999	999999	999999	999999	999999	-31.674802	999999	999999	-40.602368	999999	-208.37615	-26.754182	-46.2156	-42.1219	-408.7937	999999	-22.212345	-274.1	-447.389716	-140.7666667	999999	999999
1853	-34.276639	-28.236965	-33.40048	999999	999999	999999	-278.04493	999999	999999	999999	999999	999999	-32.136829	999999	999999	-41.829791	999999	-200.88208	-26.480146	-45.2546	-44.0428	-406.8074	999999	-21.8729	-291.9	-440.6012275	-135.7	999999	999999
1852	-34.342183	-30.008507	-33.020091	999999	999999	999999	-275.09335	999999	999999	999999	999999	999999	-31.555495	999999	999999	-42.793754	999999	-203.12281	-27.089824	-44.5734	-44.4364	-392.1593	999999	-22.068792	-272.7	-445.2962718	-146.2444444	999999	999999
1851	-34.265099	-31.297915	-32.856606	999999	999999	999999	-268.20413	999999	999999	999999	999999	999999	-30.45679	999999	999999	-43.298429	999999	-204.19827	-29.266859	-44.6671	-42.713	-389.0408	999999	-21.012185	-294.7	-448.7087181	-140.02	999999	999999
1850	-34.908947	-32.055576	-34.514403	999999	999999	999999	-260.95882	999999	999999	999999	999999	999999	-32.148358	999999	999999	-42.30484	999999	-197.07396	-29.871463	-43.8428	-40.1857	-388.5441	999999	-22.901725	-298.6	-448.9491941	-144.5285714	999999	999999
1849	-35.172096	-31.983268	-33.667781	999999	999999	999999	-269.13024	999999	999999	999999	999999	999999	-32.23001	999999	999999	-43.460279	999999	-190.99261	-29.383917	-43.0815	-39.5845	-394.1493	999999	-21.966111	-283.6	-451.5706665	-135.22	999999	999999
1848	-34.022453	-31.996048	-33.466362	999999	999999	999999	-260.77553	999999	999999	999999	999999	999999	-31.769798	999999	999999	-42.707801	999999	-191.00798	-27.624965	-43.4304	-40.5468	-402.9884	999999	-20.648325	-264.6	-450.3396339	-140.9142857	999999	999999
1847	-33.704965	-32.339374	-33.912443	999999	999999	999999	-268.62566	999999	999999	999999	999999	999999	-32.744813	999999	999999	-40.748157	999999	-194.41012	-26.749921	-44.8443	-41.0713	-385.4696	999999	-21.192263	-254.4	-448.9564347	999999	999999	999999
1846	-34.766356	-33.082914	-33.592594	999999	999999	999999	-267.13331	999999	999999	999999	999999	999999	-31.662219	999999	999999	-40.335544	999999	-194.96414	-26.982472	-46.1503	-41.4129	-390.8888	999999	-22.359104	-260.1	-447.7078383	999999	999999	999999
1845	-34.506906	-33.172377	-32.555502	999999	999999	999999	-270.2284	999999	999999	999999	999999	999999	-33.912594	999999	999999	-42.155467	999999	-192.77793	-26.503955	-46.2979	-42.184	-398.7864	999999	-22.35365	-282.1	-448.1554341	999999	999999	999999
1844	-33.879399	-32.321177	-32.598824	999999	999999	999999	-267.7753	999999	999999	999999	999999	999999	-31.698367	999999	999999	-40.920067	999999	-194.34096	-25.212691	-46.0808	-43.4096	-403.4499	999999	-21.063533	-279.5	-449.8858295	999999	999999	999999
1843	-33.195583	-30.787604	-34.054111	999999	999999	999999	-271.69367	999999	999999	999999	999999	999999	-31.252727	999999	999999	-43.813584	999999	-197.97322	-24.216194	-46.2523	-43.181	-402.2031	999999	-21.396706	-276.6	-454.9213751	999999	999999	999999
1842	-34.874861	-29.439794	-33.68794	999999	999999	999999	-268.25866	999999	999999	999999	999999	999999	-31.0483	999999	999999	-42.869298	999999	-201.38746	-24.963931	-45.4333	-43.4893	-406.3426	999999	-23.160044	-291.5	-459.9270159	999999	999999	999999
1841	-34.453994	-29.120631	-34.226347	999999	999999	999999	-257.26169	999999	999999	999999	999999	999999	-32.235139	999999	999999	-42.465993	999999	-202.97717	-26.612649	-44.2806	-44.1925	-405.8825	999999	-24.151565	-292.5	-456.5213334	999999	999999	999999
1840	-35.927631	-29.754582	-32.963963	999999	999999	999999	-280.07013	999999	999999	999999	999999	999999	-32.662268	999999	999999	-44.71068	999999	-204.15673	-27.047132	-45.3533	-43.3962	-400.4456	999999	-22.662221	-284.4	-454.0860053	999999	999999	999999
1839	-33.505111	-30.007583	-31.650629	999999	999999	999999	-275.11288	999999	999999	999999	999999	999999	-30.179183	999999	999999	-42.285019	999999	-205.28781	-26.171446	-46.3021	-44.3041	-403.7565	999999	-22.681644	-282.4	-454.3134471	999999	999999	999999
1838	-33.176123	-29.082538	-33.060978	999999	999999	999999	-257.07374	999999	999999	999999	999999	999999	-32.164681	999999	999999	-43.878379	999999	-204.65837	-24.626475	-45.3797	-43.2777	-401.5824	999999	-23.027477	-278.9	-454.7518738	999999	999999	999999
1837	-33.244119	-27.971951	-33.675174	999999	999999	999999	-251.22542	999999	999999	999999	999999	999999	-32.447192	999999	999999	-43.820107	999999	-203.15241	-23.890194	-42.2534	-42.7047	-398.6293	999999	-22.687448	-285.5	-453.1019919	999999	999999	999999
1836	-33.946631	-28.213519	-32.985157	999999	999999	999999	-268.49428	999999	999999	999999	999999	999999	-32.266833	999999	999999	-43.139597	999999	-201.64644	-23.787368	-41.6563	-41.9098	-394.3186	999999	-22.889059	-292.2	-451.2638627	999999	999999	999999
1835	-33.498379	-29.192994	-31.745345	999999	999999	999999	-251.46767	999999	999999	999999	999999	999999	-31.732277	999999	999999	-41.621604	999999	-200.14047	-24.042837	-43.6497	-42.7095	-384.3458	999999	-22.724803	-299.8	-447.4218744	999999	999999	999999
1834	-32.394982	-29.26094	-31.053067	999999	999999	999999	-255.39266	999999	999999	999999	999999	999999	-30.666873	999999	999999	-43.839631	999999	-201.31656	-24.96225	-44.4596	-44.6722	-392.0096	999999	-21.749333	-295.6	-441.2926499	999999	999999	999999
1833	-32.610249	-29.078015	-33.646483	999999	999999	999999	-266.7423	999999	999999	999999	999999	999999	-31.239448	999999	999999	-42.318691	999999	-205.15687	-25.435868	-44.17	-45.2304	-412.3172	999999	-21.830628	-293	-437.6233257	999999	999999	999999
1832	-33.783793	-28.788002	-33.598626	999999	999999	999999	-275.89035	999999	999999	999999	999999	999999	-32.968312	999999	999999	-44.508452	999999	-208.99719	-25.093333	-43.8365	-42.6455	-413.8629	999999	-21.416795	-303.2	-439.0517361	999999	999999	999999
1831	-34.873671	-30.297833	-33.36754	999999	999999	999999	-278.67287	999999	999999	999999	999999	999999	-30.841297	999999	999999	-44.23417	999999	-212.69262	-25.268934	-44.0364	-40.0683	-397.8238	999999	-21.395748	-299.2	-438.4814232	999999	999999	999999
1830	-34.178214	-31.283399	-32.892117	999999	999999	999999	-268.9514	999999	999999	999999	999999	999999	-33.081282	999999	999999	-43.870436	999999	-210.65167	-26.078917	-45.1118	-40.8799	-385.8133	999999	-22.919582	-280.3	-437.9714991	999999	999999	999999
1829	-33.574201	-30.680208	-32.098101	999999	999999	999999	-268.72446	999999	999999	999999	999999	999999	-32.574173	999999	999999	-42.891147	999999	-205.65167	-26.514742	-45.1087	-42.6579	-400.9426	999999	-21.054309	-269.7	-438.6789951	999999	999999	999999
1828	-33.472577	-29.709925	-31.385664	999999	999999	999999	-266.36089	999999	999999	999999	999999	999999	-31.803684	999999	999999	-42.832297	999999	-200.6695	-25.985097	-44.1121	-43.4155	-410.7485	999999	-21.885297	-273.1	-442.399204	999999	999999	999999
1827	-34.511518	-29.21764	-31.556435	999999	999999	999999	-266.55254	999999	999999	999999	999999	999999	-34.252537	999999	999999	-43.073836	999999	-199.73055	-25.278987	-44.6054	-42.8205	-410.4247	999999	-22.018112	-288	-450.1158306	999999	999999	999999
1826	-34.121365	-29.385354	-30.326423	999999	999999	999999	-254.33286	999999	999999	999999	999999	999999	-30.731786	999999	999999	-41.153361	999999	-201.86562	-25.108362	-45.5373	-42.3659	-409.736	999999	-21.911524	-295.1	-450.8956285	999999	999999	999999
1825	-31.879511	-29.900138	-32.351784	999999	999999	999999	-269.70195	999999	999999	999999	999999	999999	-31.42663	999999	999999	-43.808947	999999	-204.00069	-25.487439	-46.4397	-41.8331	-411.4142	999999	-22.265108	-287.9	-448.4061839	999999	999999	999999
1824	-32.754461	-30.850217	-32.352202	999999	999999	999999	-268.16396	999999	999999	999999	999999	999999	-31.340829	999999	999999	-45.962744	999999	-206.13576	-26.881169	-46.5647	-42.6093	-413.1605	999999	-21.778104	-285.1	-446.4201052	999999	999999	999999
1823	-33.292472	-31.429028	-33.589846	999999	999999	999999	-261.25447	999999	999999	999999	999999	999999	-36.20496	999999	999999	-43.383726	999999	-207.51369	-28.05562	-45.7709	-44.7563	-413.43	999999	-22.811181	-287	-440.7268784	999999	999999	999999
1822	-35.14663	-31.472667	-33.757606	999999	999999	999999	-277.30187	999999	999999	999999	999999	999999	-30.828864	999999	999999	-42.788698	999999	-207.58272	-27.770444	-45.5787	-43.8401	-410.109	999999	-22.907177	-277.8	-435.9033197	999999	999999	999999
1821	-34.350093	-31.479746	-33.103633	999999	999999	999999	-282.21698	999999	999999	999999	999999	999999	-31.067977	999999	999999	-42.697068	999999	-207.62913	-26.082931	-45.6235	-42.8766	-400.0725	999999	-22.260088	-268.5	-431.8043921	999999	999999	999999
1820	-34.982505	-31.812868	-31.458221	999999	999999	999999	-262.38195	999999	999999	999999	999999	999999	-31.977245	999999	999999	-41.675432	999999	-207.67553	-23.939903	-45.404	-39.4675	-387.5776	999999	-23.302659	-272.9	-442.0680687	999999	999999	999999
1819	-33.533163	-31.686038	-33.596269	999999	999999	999999	-252.61029	999999	999999	999999	999999	999999	-31.392492	999999	999999	-40.913949	999999	-207.79495	-23.350528	-45.9031	-40.0229	-390.0946	999999	-21.983374	-264.8	-455.8984879	999999	999999	999999
1818	-33.741747	-31.658056	-34.196089	999999	999999	999999	-254.78495	999999	999999	999999	999999	999999	-31.096999	999999	999999	-42.225594	999999	-208.28985	-23.812875	-45.9338	-41.6465	-398.7757	999999	-22.837296	-262.8	-450.8158126	999999	999999	999999
1817	-33.606054	-31.49126	-34.050198	999999	999999	999999	-264.21413	999999	999999	999999	999999	999999	-30.495703	999999	999999	-44.451761	999999	-208.83691	-24.207324	-44.6527	-41.6079	-405.1046	999999	-23.34608	-286.9	-446.7922775	999999	999999	999999
1816	-34.086811	-30.383145	-32.141703	999999	999999	999999	-267.67243	999999	999999	999999	999999	999999	-31.491189	999999	999999	-44.786841	999999	-209.38397	-24.839742	-43.9833	-40.077	-404.0709	999999	-22.81208	-314.9	-438.1730868	999999	999999	999999
1815	-33.503057	-30.194285	-32.861081	999999	999999	999999	-267.53952	999999	999999	999999	999999	999999	-33.115607	999999	999999	-43.500558	999999	-209.93103	-25.580721	-43.609	-39.5369	-406.7783	999999	-22.341704	-327.1	-433.9281851	999999	999999	999999
1814	-34.870326	-31.25881	-31.14811	999999	999999	999999	-272.20214	999999	999999	999999	999999	999999	-32.849493	999999	999999	-43.165089	999999	-210.29605	-26.039163	-43.0896	-38.576	-405.2475	999999	-21.945072	-307	-430.0521803	999999	999999	999999
1813	-33.977989	-31.975233	-34.328877	999999	999999	999999	-269.76569	999999	999999	999999	999999	999999	-32.184166	999999	999999	-43.891153	999999	-209.26201	-26.258429	-44.0647	-38.713	-395.3591	999999	-21.790215	-282	-440.3181683	999999	999999	999999
1812	-34.921113	-31.837118	-33.491946	999999	999999	999999	-266.02279	999999	999999	999999	999999	999999	-31.158016	999999	999999	-42.77961	999999	-207.93671	-26.623299	-45.4019	-38.5648	-387.5497	999999	-21.706708	-280.9	-446.7751055	999999	999999	999999
1811	-34.745167	-31.932792	-32.321753	999999	999999	999999	-267.14658	999999	999999	999999	999999	999999	-29.752122	999999	999999	-42.833885	999999	-206.61696	-28.008162	-46.275	-39.3023	-385.6134	999999	-22.641865	-290.4	-452.1664461	999999	999999	999999
1810	-35.266472	-32.123376	-33.791527	999999	999999	999999	-280.90411	999999	999999	999999	999999	999999	-31.058112	999999	999999	-44.398672	999999	-205.80401	-29.060188	-46.6847	-39.7961	-399.8552	999999	-21.985973	-293.5	-456.4589625	999999	999999	999999
1809	-35.063598	-32.139109	-34.587517	999999	999999	999999	-284.22415	999999	999999	999999	999999	999999	-32.46885	999999	999999	-42.766769	999999	-205.31181	-28.513424	-46.2281	-39.8973	-399.3299	999999	-22.635064	-286.4	-451.7607232	999999	999999	999999
1808	-34.832168	-32.369831	-33.976598	999999	999999	999999	-287.06937	999999	999999	999999	999999	999999	-31.308974	999999	999999	-44.358128	999999	-204.8196	-27.683253	-45.5462	-40.298	-409.0616	999999	-23.428395	-282.5	-449.7210656	999999	999999	999999
1807	-35.222016	-32.915939	-33.219513	999999	999999	999999	-288.88162	999999	999999	999999	999999	999999	-32.716848	999999	999999	-44.579521	999999	-204.3274	-27.460975	-45.237	-40.1209	-422.0458	999999	-23.389161	-285.8	-447.9123407	999999	999999	999999
1806	-33.998686	-33.906328	-32.679177	999999	999999	999999	-275.77151	999999	999999	999999	999999	999999	-32.479033	999999	999999	-42.388396	999999	-203.82341	-27.939344	-45.4166	-39.6654	-419.5581	999999	-22.154115	-287.1	-448.3136257	999999	999999	999999
1805	-34.00293	-35.173102	-32.618499	999999	999999	999999	-266.55356	999999	999999	999999	999999	999999	-30.480287	999999	999999	-43.784734	999999	-203.27595	-28.498472	-45.8365	-40.5157	-415.485	999999	-22.280801	-283.7	-449.1498327	999999	999999	999999
1804	-34.610073	-34.914686	-33.550779	999999	999999	999999	-258.61683	999999	999999	999999	999999	999999	-33.152603	999999	999999	-42.813191	999999	-202.72451	-28.194562	-45.6591	-41.9681	-405.893	999999	-24.150048	-278.1	-449.9860398	999999	999999	999999
1803	-31.818006	-33.031366	-32.101659	999999	999999	999999	-258.36385	999999	999999	999999	999999	999999	-30.543573	999999	999999	-42.447049	999999	-202.17307	-26.965299	-45.7311	-41.8246	-399.2824	999999	-22.081048	-288.4	-445.3766212	999999	999999	999999
1802	-33.851492	-31.844395	-33.263672	999999	999999	999999	-263.82481	999999	999999	999999	999999	999999	-31.725848	999999	999999	-42.686824	999999	-201.62163	-26.422631	-45.1193	-41.0868	-406.4437	999999	-22.718211	-296	-445.410169	999999	999999	999999
1801	-35.141512	-30.898981	-32.590527	999999	999999	999999	-265.76898	999999	999999	999999	999999	999999	-31.137203	999999	999999	-44.016057	999999	-201.39153	-26.628383	-44.4241	-40.8889	-406.8588	999999	-21.926378	-293.3	-446.363043	999999	999999	999999
1800	-34.677415	-30.320943	-31.870136	999999	999999	999999	-274.25788	999999	999999	999999	999999	999999	-30.084397	999999	999999	-42.228181	999999	-201.89233	-26.773662	-44.7562	-41.4817	999999	999999	-22.235873	-301.5	-444.4083572	999999	999999	999999
